,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
61,75001,48.8566969,2.3514616,L'Ébouillanté,48.854887506938255,2.355199456214905,French Restaurant
62,75001,48.8566969,2.3514616,Autour du Saumon,48.85558694633289,2.3578015122239786,Scandinavian Restaurant
63,75001,48.8566969,2.3514616,Square Jean XXIII,48.85249912936207,2.3513748676734063,Park
64,75001,48.8566969,2.3514616,Cave à Bulles,48.86106822154757,2.350510874028137,Beer Store
65,75001,48.8566969,2.3514616,Artéfact,48.859159235782826,2.3567422381825898,Café
66,75001,48.8566969,2.3514616,La Belle Hortense,48.857511321700315,2.35752029558429,Wine Bar
67,75001,48.8566969,2.3514616,La Droguerie du Marais,48.857837832158246,2.3580553473763914,French Restaurant
68,75001,48.8566969,2.3514616,L'Horloge du Palais de la Cité,48.8561387406628,2.346155047416687,Historic Site
69,75001,48.8566969,2.3514616,Point Zéro des Routes de France,48.853378239066345,2.34882675241169,Historic Site
70,75001,48.8566969,2.3514616,Princess Crêpe,48.85633801979823,2.3582201223926127,Creperie
71,75001,48.8566969,2.3514616,Le Colimaçon,48.857975561490434,2.358005359946839,French Restaurant
72,75001,48.8566969,2.3514616,Le Trumilou,48.854906,2.354048,French Restaurant
73,75001,48.8566969,2.3514616,Chacun ses goûts,48.86045841979827,2.3546816228436467,Frozen Yogurt Shop
74,75001,48.8566969,2.3514616,Stolly's,48.85643222530419,2.3572008204178174,Pub
75,75001,48.8566969,2.3514616,La Panfoulia,48.85796529800795,2.356742786235156,Lounge
76,75001,48.8566969,2.3514616,Cité Internationale des Arts,48.85400983891493,2.3567382656184863,Cultural Center
77,75001,48.8566969,2.3514616,Le Mistral,48.85713384507085,2.347637508259667,French Restaurant
78,75001,48.8566969,2.3514616,La Réserve de Quasimodo,48.85484856340623,2.350624800439762,French Restaurant
79,75001,48.8566969,2.3514616,Statue de Charlemagne,48.85321219002655,2.348305055824766,Sculpture Garden
80,75001,48.8566969,2.3514616,Au Bourguignon du Marais,48.855609413503736,2.357703652114703,Burgundian Restaurant
81,75001,48.8566969,2.3514616,Le Tambour d'Arcole,48.85466334119561,2.3500580039119243,French Restaurant
82,75001,48.8566969,2.3514616,La Conciergerie,48.85611,2.34492,Historic Site
83,75001,48.8566969,2.3514616,Le Flore en l'Île,48.852787337865735,2.353368207366823,French Restaurant
84,75001,48.8566969,2.3514616,Au Petit Versailles du Marais,48.855619103037064,2.3576342314481735,Bakery
85,75001,48.8566969,2.3514616,Sur Le Pouce,48.85458891563948,2.3499631901010756,Snack Place
86,75001,48.8566969,2.3514616,La Sarrasine,48.853177,2.353939,Creperie
87,75001,48.8566969,2.3514616,Don Giovanni,48.85569536633659,2.357174777121941,Italian Restaurant
88,75001,48.8566969,2.3514616,Sancho,48.855803,2.356545,Japanese Restaurant
89,75001,48.8566969,2.3514616,Quai de Bourbon,48.853389357825314,2.3544875372175054,Waterfront
90,75001,48.8566969,2.3514616,Au Lys d'Argent,48.8527895163605,2.353881745505874,Creperie
91,75001,48.8566969,2.3514616,Huré,48.85482146385542,2.3501120333922687,Bakery
